file_name,file_type,description,char_count,source_url,acquired_date
hofstede_culture_egypt.txt,Reference_Texts,霍夫斯泰德文化维度 (Arab World),4500,https://internationalbusinesscenter.org/geert-hofstede/hofstede_arab_world.shtml,2026-07-02
egypt_social_media_guide.txt,Reference_Texts,埃及社交媒体平台策略,7000,多个来源综合,2026-07-02
egypt_marketing_cases.txt,Reference_Texts,埃及营销案例与品牌洞察,5500,Think Marketing Magazine / Campaign ME,2026-07-02
egypt_ramadan_playbook.txt,Reference_Texts,斋月营销完全指南,8500,Think with Google MENA / TikTok For Business,2026-07-02
egypt_marketing_strategy.txt,Reference_Texts,埃及市场综合策略,7500,多个行业报告综合,2026-07-02
digital_2024_egypt.txt,Reference_Texts,埃及数字生态全景v2 (DataReportal完整数据),7000,https://datareportal.com/reports/digital-2024-egypt,2026-07-02
egypt_consumer_culture.txt,Reference_Texts,埃及消费者文化深度v2 (CairoScene潮流动向),6000,CairoScene / Scoop Empire,2026-07-02
egypt_public_opinion.txt,Reference_Texts,埃及民意与消费者心理 (Arab Barometer Wave IX),6500,https://www.arabbarometer.org,2026-07-02
egypt_ecommerce_payments.txt,Reference_Texts,埃及电商与支付生态全景,6500,P&S Intelligence / ResearchAndMarkets,2026-07-02
egypt_digital_payments.txt,Reference_Texts,埃及数字支付深度数据 (Ken Research/Visa),5000,Ken Research / Visa Africa,2026-07-02
consumer_psychology_toolkit.txt,Reference_Texts,消费者心理学与行为经济学完全工具包,8000,Cialdini/Kahneman/Thaler/Ariely,2026-07-02
data_analytics_roi.txt,Reference_Texts,数据分析与ROI意识 (含A/B测试框架),7500,综合行业最佳实践,2026-07-02
competitive_intelligence.txt,Reference_Texts,竞品情报与商业博弈 (SWOT/PEST/蓝海),7000,Porter/SWOT/PESTEL/Blue Ocean,2026-07-02
pr_crisis_management.txt,Reference_Texts,公关危机管理与黄金24小时法则,8500,公关行业最佳实践,2026-07-02
user_journey_aarrr.txt,Reference_Texts,全渠道用户旅程与AARRR增长引擎,8000,Dave McClure/增长黑客,2026-07-02
egypt_ad_regulations.txt,Reference_Texts,埃及广告法规与内容合规指南,6000,埃及消费者保护法/行业指南,2026-07-02
egypt_kol_ecosystem.txt,Reference_Texts,埃及KOL生态与网红营销深度指南,8000,行业观察+平台数据+案例,2026-07-02
